"id","e","n"
"117644","1202848.15","7173774.936"
"117645","1202848.15","7173809.624"
"117646","1202848.15","7173844.303"
"117647","1202848.15","7173871.401"
"117648","1202877.85","7173921.41"
"117649","1202877.85","7173948.5"
"117650","1202877.85","7173983.19"
"117651","1202877.85","7174017.87"
"117652","1202877.85","7174052.55"
"117653","1202877.85","7174086.1"
"117654","1202877.85","7174119.66"
"117655","1202877.85","7174154.34"
"117656","1202877.85","7174189.02"
"117657","1202877.85","7174223.71"
"117658","1202877.85","7174250.8"
"117659","1202877.85","7173542.01"
"117661","1202877.85","7173603.79"
"117662","1202877.85","7173638.47"
"117663","1202877.85","7173673.16"
"117638","1202848.15","7173569.117"
"117616","1202818.45","7173569.121"
"117665","1202877.85","7173740.26"
"117666","1202877.85","7173774.94"
"117667","1202877.85","7173809.63"
"117668","1202877.85","7173844.31"
"117669","1202877.85","7173871.41"
"117670","1202907.55","7173921.41"
"117671","1202907.55","7173948.5"
"117672","1202907.55","7173983.19"
"117673","1202907.55","7174017.87"
"117674","1202907.55","7174052.55"
"117675","1202907.55","7174086.1"
"117676","1202907.55","7174119.66"
"117677","1202907.55","7174154.34"
"117678","1202907.55","7174189.02"
"117679","1202907.55","7174223.71"
"117680","1202907.55","7174250.8"
"117681","1202907.55","7173542.01"
"117683","1202907.55","7173603.79"
"117684","1202907.55","7173638.47"
"117685","1202907.55","7173673.16"
"117686","1202907.55","7173706.71"
"117687","1202907.55","7173740.26"
"117688","1202907.55","7173774.94"
"117689","1202907.55","7173809.63"
"117690","1202907.55","7173844.31"
"117691","1202907.55","7173871.41"
"117692","1202937.25","7173921.421"
"117693","1202937.25","7173948.509"
"117694","1202937.25","7173983.197"
"117695","1202937.25","7174017.875"
"117696","1202937.25","7174052.552"
"117697","1202937.25","7174086.1"
"117698","1202937.25","7174119.658"
"117699","1202937.25","7174154.335"
"117700","1202937.25","7174189.013"
"117701","1202937.25","7174223.701"
"117702","1202937.25","7174250.789"
"117703","1202937.25","7173542.01"
"117705","1202937.25","7173603.79"
"117706","1202937.25","7173638.47"
"117707","1202937.25","7173673.16"
"117708","1202937.25","7173706.71"
